id,task,task_label,brief
423,423,Make a famous couple using knees and/or elbows,"Make either a knee and an elbow, a knee and a knee, or an elbow and an elbow look like a famous couple.
You must only use your knees and elbows.
Best representation of a famous couple on knees and/or elbows wins.
You have 20 minutes.
Your time starts now."
424,424,Communicate pictures by drawing on your team-mate’s back,"Standing in a queue, draw the most accurate pictures.
Alex will show the person at the back of the queue a picture.
The person at the back of the queue must draw this picture on the back of the person in front of them.
The person at the front of the queue must draw the picture they think has been drawn on their back on their pad.
You have one minute per drawing.
No-one may communicate with anyone else.
The team with the most accurate three drawings wins."
425,425,The best thing that is very long and thin,Bring in the best thing that is very long and thin.
426,426,Do the most preposterous thing with a chickpea,"Do the most preposterous thing with this chickpea.
You have 20 minutes.
Your time starts now."
427,427,Make a cup of tea,"Make the best cup of tea in this teacup.
You must use all the equipment on the table.
You must not use anything from the kitchen.
You must wear the washing-up gloves throughout the task.
Best cup of tea wins.
You have a maximum of 10 minutes.
Your time starts now."
428,428,Complete the seven tasks in any order,"Complete the seven tasks.
When you touch a task in any way, you must complete it before looking inside another task.
Fastest wins.
Your time starts now.

Complete the jigsaw.

Hide all the jigsaw pieces around the garden.

Put this wheelbarrow in the caravan.
The wheelbarrow must stay in the caravan for the rest of the task.

Put 20 things all bigger than a tennis ball in the wheelbarrow.

Roll the bowling ball from behind the rope at the top of the drive, so it knocks over at least one of the skittles in front of the front door.

Build a tower of bricks on this red circle.
The tower must be at least 26 inches high and must remain standing until all the tasks are complete.

Place one of your hands on your hips and keep it there until you have completed all of the tasks."
429,429,Select the shortest breadstick,"Pull the short breadstick.
Taking it in turns, you must pull a breadstick out of the apron of the person next to you.
Before each pull the breadstick’s bearer must point to one of their breadsticks, wink and say: “This is the short breadstick.” If you pull the short breadstick, that breadstick bearer is disqualified.
Last remaining player wins.
Winner takes all."
430,430,Use a spread to delay a pop-up toy,"Make a pop-up toy pause for the longest before it pops up.
You may use one of the spreads provided to make your pause longer."
431,431,The nicest thing to put in your mouth,Bring in the nicest thing to put in your mouth.
432,432,"Fell the coconut, then move the drinks","Knock the coconut off its perch.
Fastest wins.
Your time starts now.

Put all these drinks on the table in the caravan without spilling a single drop.
Also, you must be clutching this teddy at all times.
Also, you must not walk on the grass while holding drinks.
Fastest wins.
Your time starts now."
433,433,Make a large object vanish,"Make the largest object properly vanish.
Largest object to properly vanish wins.
You may not use any editing trickery.
You have one hour.
Your time starts now."
434,434,Get the most eggs in the pan,"Land the most egg in the frying pan.
You may not throw any egg.
You must stay on this balcony and you may only use the contents of one of the boxes.
You have 20 minutes or until you run out of eggs.
Your time starts now."
435,435,Get the most balls of the same colour in your bucket using litter pickers,"Get the most balls in your bucket.
At the end of the task, all the balls in your bucket must be the same colour as each other.
You will lose five points for every different coloured ball in your bucket.
You may only touch your litter pickers and you must stay on your spot at all times.
You have 100 seconds."
436,436,The best thing with loads of holes in it,Bring in the best thing with loads of holes in it.
437,437,"Find the treasure / Make different, increasingly loud noises","Find the treasure.
Do not break the box.
Fastest wins.
Your time starts now.

Make one different noise for 10 seconds every minute for 20 minutes.
Each noise must be slightly louder than the last and you must make no other noise during the 20 minutes.
You must stay on this chair throughout the 20 minutes.
Your time starts when Alex blows the whistle."
438,438,"Make a portrait of the Taskmaster and his toy using balloons, pegs, and clothing","Make the best portrait of the Taskmaster and his favourite toy, using only balloons, pegs and your own clothes.
Your portrait must fill this frame.
You have thirty minutes.
Your time starts now."
439,439,Get all the exercise balls in the hoops while in a boat,"Get all the exercise balls in the hoops.
You may not move the hoops or get out of the boat.
Fastest wins.
Your time starts now."
440,440,Guess what is making the noises,"Guess the things that are making the noise.
You will receive one point for every correct answer.
Most accurate guesser wins."
441,441,Select a wind-up dinosaur,"Select one of five wind-up toy dinosaurs and make it travel the furthest across a table.
You have thirty seconds to select your toy.
If the toy falls off the table you are disqualified.
Furthest wins."
